Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,10x200m;%d;90s recovery,,6x400m;%d;2min recovery,,Bike/Swim/Rest,60min
,12x200m;%d;90s recovery,,8x400m;%d;2min recovery,,Bike/Swim/Rest,65min
,6x400m;%d;2min recovery,,5x600m;%d;2min recovery,,Bike/Swim/Rest,75min
,8x400m;%d;2min recovery,,6x600m;%d;2min recovery,,Bike/Swim/Rest,85min
,5x600m;%d;2min recovery,,5x800;%d;2min recovery,,Bike/Swim/Rest,90min
,6x600m;%d;2min recovery,,6x800m;%d;2min recovery,,Bike/Swim/Rest,95min
,4x800m;%d;2:30min recovery,,5x1k;%d;3min recovery,,Bike/Swim/Rest,95min
,8x400m;%d;90s recovery,,5x900m + 100m kick;%d;1k recovery,,Bike/Swim/Rest,70min
,8x200m;%d;90s recovery,,,,20-30min shake out,Race Day!
